Date,Value
2013-12-27,1218.72
2013-12-26,1215.71
2013-12-23,1202.69
2013-12-20,1199.68
2013-12-19,1205.7
2013-12-18,1235.75
2013-12-17,1236.85
2013-12-16,1238.45
2013-12-13,1235.75
2013-12-12,1233.74
2013-12-11,1262.79
2013-12-10,1266.8
2013-12-09,1234.74
2013-12-06,1237.75
2013-12-05,1227.73
2013-12-04,1231.74
2013-12-03,1223.02
2013-12-02,1241.26
2013-11-27,1252.78
2013-11-26,1246.76
2013-11-25,1238.25
2013-11-22,1249.27
2013-11-21,1244.16
2013-11-20,1263.29
2013-11-19,1277.32
2013-11-18,1286.83
2013-11-15,1291.34
2013-11-14,1284.83
2013-11-13,1277.82
2013-11-12,1284.33
2013-11-11,1286.53
2013-11-08,1297.15
2013-11-07,1310.87
2013-11-06,1320.39
2013-11-05,1317.18
2013-11-04,1321.64
2013-11-01,1318.14
2013-10-31,1329.41
2013-10-30,1358.45
2013-10-29,1351.04
2013-10-28,1354.45
2013-10-25,1346.23
2013-10-24,1344.53
2013-10-23,1334.91
2013-10-22,1331.41
2013-10-21,1319.89
2013-10-18,1320.39
2013-10-17,1319.89
2013-10-16,1280.82
2013-10-15,1266.3
2013-10-14,1287.33
2013-10-11,1268.3
2013-10-10,1301.86
2013-10-09,1311.17
2013-10-08,1325.4
2013-10-07,1321.39
2013-10-04,1320.89
2013-10-03,1315.38
2013-10-02,1304.36
2013-10-01,1299.35
2013-09-30,1327.4
2013-09-27,1337.92
2013-09-26,1334.41
2013-09-25,1323.9
2013-09-24,1312.88
2013-09-23,1325.9
2013-09-20,1355.95
2013-09-19,1367.97
2013-09-18,1303.86
2013-09-17,1317.38
2013-09-16,1319.89
2013-09-13,1320.39
2013-09-12,1333.91
2013-09-11,1364.97
2013-09-10,1368.47
2013-09-09,1390.01
2013-09-06,1384.5
2013-09-05,1392.01
2013-09-04,1397.02
2013-09-03,1402.03
2013-08-30,1397.77
2013-08-29,1410.79
2013-08-28,1422.56
2013-08-27,1422.31
2013-08-26,1400.28
2013-08-23,1380.49
2013-08-22,1378.49
2013-08-21,1365.97
2013-08-20,1375.48
2013-08-19,1367.97
2013-08-16,1372.23
2013-08-15,1332.66
2013-08-14,1329.41
2013-08-13,1331.41
2013-08-12,1343.93
2013-08-09,1311.88
2013-08-08,1301.11
2013-08-07,1285.33
2013-08-06,1283.33
2013-08-05,1307.62
2013-08-02,1312.13
2013-08-01,1317.89
2013-07-31,1317.38
2013-07-30,1327.05
2013-07-29,1332.66
2013-07-26,1333.91
2013-07-25,1328.9
2013-07-24,1337.92
2013-07-23,1336.42
2013-07-22,1329.91
2013-07-19,1298.6
2013-07-18,1286.08
2013-07-17,1300.11
2013-07-16,1294.35
2013-07-15,1287.58
2013-07-12,1282.58
2013-07-11,1287.83
2013-07-10,1258.79
2013-07-09,1258.28
2013-07-08,1238.0
2013-07-05,1215.46
2013-07-03,1252.78
2013-07-02,1255.28
2013-07-01,1245.51
2013-06-28,1194.68
2013-06-27,1235.5
2013-06-26,1239.0
2013-06-25,1281.82
2013-06-24,1289.59
2013-06-21,1298.1
2013-06-20,1295.35
2013-06-19,1375.73
2013-06-18,1369.72
2013-06-17,1387.75
2013-06-14,1394.27
2013-06-13,1388.0
2013-06-12,1385.75
2013-06-11,1377.24
2013-06-10,1386.25
2013-06-07,1389.01
2013-06-06,1403.03
2013-06-05,1407.04
2013-06-04,1402.53
